date,price
1988-02-01,0.44
1988-03-01,0.44
1988-04-01,0.44
1988-05-01,0.44
1988-06-01,0.45
1988-07-01,0.46
1988-09-01,0.465
1988-10-01,0.46
1988-11-01,0.46
1988-12-01,0.47
1989-01-01,0.47
1989-03-01,0.47
1989-04-01,0.48
1989-05-01,0.48
1989-06-01,0.485
1989-07-01,0.48
1989-08-01,0.48
1989-09-01,0.47
1989-10-01,0.48
1989-11-01,0.48
1989-12-01,0.49
1990-01-01,0.49
1990-02-01,0.49
1990-03-01,0.49
1990-04-01,0.5
1990-05-01,0.49
1990-06-01,0.495
1990-07-01,0.51
1990-08-01,0.5
1990-09-01,0.5
1990-10-01,0.51
1990-11-01,0.51
1990-12-01,0.51
1991-01-01,0.54
1991-02-01,0.54
1991-03-01,0.53
1991-04-01,0.525
1991-05-01,0.54
1991-06-01,0.545
1991-07-01,0.55
1991-08-01,0.54
1991-09-01,0.54
1991-10-01,0.54
1991-11-01,0.53
1991-12-01,0.54
1992-01-01,0.55
1992-02-01,0.58
1992-03-01,0.575
1992-04-01,0.575
1992-05-01,0.58
1992-06-01,0.58
1992-07-01,0.58
1992-08-01,0.58
1992-09-01,0.58
1992-10-01,0.58
1992-11-01,0.58
1992-12-01,0.58
1993-01-01,0.59
1993-02-01,0.59
1993-03-01,0.59
1993-04-01,0.6
1993-05-01,0.6
1993-06-01,0.6
1993-07-01,0.6
1993-08-01,0.6
1993-09-01,0.59
1993-10-01,0.6
1993-11-01,0.59
1993-12-01,0.59
1994-01-01,0.59
1994-02-01,0.58
1994-03-01,0.56
1994-04-01,0.56
1994-05-01,0.56
1994-06-01,0.57
1994-07-01,0.575
1994-08-01,0.55
1994-09-01,0.56
1994-10-01,0.55
1994-11-01,0.555
1994-12-01,0.575
1995-01-01,0.55
1995-02-01,0.58
1995-03-01,0.55
1995-04-01,0.585
1995-05-01,0.58
1995-06-01,0.59
1995-07-01,0.59
1995-08-01,0.59
1995-09-01,0.59
1995-10-01,0.59
1995-11-01,0.59
1995-12-01,0.59
1996-01-01,0.59
1996-02-01,0.6
1996-03-01,0.59
1996-04-01,0.58
1996-05-01,0.57
1996-06-01,0.58
1996-07-01,0.57
1996-08-01,0.53
1996-09-01,0.55
1996-10-01,0.54
1996-11-01,0.56
1996-12-01,0.55
1997-01-01,0.55
1997-02-01,0.55
1997-03-01,0.55
1997-04-01,0.49
1997-05-01,0.49
1997-06-01,0.55
1997-07-01,0.55
1997-08-01,0.55
1997-09-01,0.49
1997-10-01,0.49
1997-11-01,0.49
1997-12-01,0.49
1998-01-01,0.49
1998-02-01,0.505
1998-03-01,0.49
1998-04-01,0.49
1998-05-01,0.49
1998-06-01,0.49
1998-07-01,0.49
1998-08-01,0.49
1998-09-01,0.49
1998-10-01,0.53
1998-11-01,0.52
1998-12-01,0.53
1999-01-01,0.45
1999-02-01,0.55
1999-03-01,0.49
1999-04-01,0.49
1999-05-01,0.53
1999-06-01,0.55
1999-07-01,0.53
1999-08-01,0.55
1999-09-01,0.55
1999-10-01,0.53999996
1999-11-01,0.55
1999-12-01,0.55
2000-01-01,0.565
2000-02-01,0.55
2000-03-01,0.55
2000-04-01,0.49
2000-05-01,0.55
2000-06-01,0.55
2000-07-01,0.55
2000-08-01,0.545
2000-09-01,0.54
2000-10-01,0.49
2000-11-01,0.49
2000-12-01,0.54
2001-01-01,0.54
2001-02-01,0.55
2001-03-01,0.54
2001-04-01,0.515
2001-05-01,0.57
2001-06-01,0.58
2001-07-01,0.55
2001-08-01,0.55
2001-09-01,0.57
2001-10-01,0.59
2001-11-01,0.59
2001-12-01,0.59
2002-01-01,0.59
2002-02-01,0.59
2002-03-01,0.59
2002-04-01,0.59
2002-05-01,0.59
2002-06-01,0.59
2002-07-01,0.59
2002-08-01,0.59
2002-09-01,0.59
2002-10-01,0.59
2002-11-01,0.59
2002-12-01,0.59
2003-01-01,0.59
2003-02-01,0.59
2003-03-01,0.63
2003-04-01,0.63
2003-05-01,0.63
2003-06-01,0.63
2003-07-01,0.63
2003-08-01,0.63
2003-09-01,0.64
2003-10-01,0.68
2003-11-01,0.68
2003-12-01,0.68
2004-01-01,0.68
