Date,Value
19-06-05,1.03
20-06-05,1.22
21-06-05,0.61
22-06-05,0.82
23-06-05,0.44
24-06-05,0.26
25-06-05,0.26
26-06-05,0.42
27-06-05,0.77
28-06-05,1.16
29-06-05,0.67
30-06-05,-0.96
01-07-05,-2.85
02-07-05,1.32
03-07-05,0.2
04-07-05,0.53
05-07-05,1.17
06-07-05,2.11
07-07-05,0.51
08-07-05,0.04
09-07-05,0.57
10-07-05,0.03
11-07-05,0.41
12-07-05,-1.95
13-07-05,2.05
14-07-05,0.23
15-07-05,0.33
16-07-05,1.14
