Date,Volume_Mn,MoM_Growth_%,Rolling_Mean_6m,Is_Spike
2016-07-01,0.09,,,False
2016-08-01,0.09,0.0,,False
2016-09-01,0.09,0.0,,False
2016-10-01,0.1,11.111111111111116,,False
2016-11-01,0.29,189.99999999999994,,True
2016-12-01,1.99,586.2068965517242,0.44166666666666665,True
2017-01-01,4.46,124.12060301507539,1.17,False
2017-02-01,4.38,-1.7937219730941756,1.885,False
2017-03-01,6.37,45.43378995433791,2.9316666666666666,False
2017-04-01,7.2,13.02982731554161,4.114999999999999,False
2017-05-01,9.36,29.999999999999982,5.626666666666666,False
2017-06-01,10.35,10.576923076923084,7.0200000000000005,False
2017-07-01,11.63,12.367149758454122,8.215,False
2017-08-01,16.8,44.453998280309534,10.285,False
2017-09-01,30.98,84.4047619047619,14.386666666666668,False
2017-10-01,76.96,148.41833440929628,26.013333333333332,True
2017-11-01,105.02,36.46049896049897,41.95666666666667,False
2017-12-01,145.64,38.678346981527326,64.505,False
2018-01-01,151.83,4.250205987366118,87.87166666666667,False
2018-02-01,171.4,12.889415793980108,113.63833333333332,False
2018-03-01,178.05,3.87981330221705,138.15,False
2018-04-01,190.08,6.75652906486941,157.00333333333336,False
2018-05-01,189.48,-0.31565656565657463,171.08,False
2018-06-01,246.37,30.024276968545504,187.86833333333334,False
2018-07-01,273.75,11.113366075415021,208.18833333333336,False
2018-08-01,312.02,13.97990867579908,231.625,False
2018-09-01,405.87,30.07820011537723,269.59499999999997,False
2018-10-01,482.36,18.84593589080248,318.30833333333334,False
2018-11-01,524.94,8.827431793681084,374.2183333333334,False
2018-12-01,620.17,18.141120890006455,436.5183333333334,False
2019-01-01,672.75,8.478320460518907,503.0183333333334,False
2019-02-01,674.19,0.21404682274248632,563.38,False
2019-03-01,799.54,18.592681588276292,628.9916666666667,False
2019-04-01,781.79,-2.220026515246265,678.8966666666666,False
2019-05-01,733.54,-6.171734097391878,713.6633333333333,False
2019-06-01,754.54,2.862829566213154,736.0583333333333,False
2019-07-01,822.29,8.978980570943884,760.9816666666666,False
2019-08-01,918.35,11.682009996473264,801.6749999999998,False
2019-09-01,955.02,3.993030979474055,827.5883333333333,False
2019-10-01,1148.36,20.244602207283613,888.6833333333333,False
2019-11-01,1218.77,6.131352537531787,969.555,False
2019-12-01,1308.4,7.354135727003452,1061.865,False
2020-01-01,1305.02,-0.25833078569246215,1142.32,False
2020-02-01,1325.69,1.5838837718962218,1210.2099999999998,False
2020-03-01,1246.84,-5.947846027351799,1258.8466666666666,False
2020-04-01,999.57,-19.831734625132324,1234.0483333333334,False
2020-05-01,1234.5,23.503106335724368,1236.67,False
2020-06-01,1336.93,8.297286350749289,1241.425,False
2020-07-01,1497.36,11.99988032282915,1273.4816666666666,False
2020-08-01,1618.83,8.112277608591123,1322.3383333333334,False
2020-09-01,1800.14,11.200064243929276,1414.555,False
2020-10-01,2071.62,15.081049251724842,1593.2300000000002,False
2020-11-01,2210.23,6.690898910031762,1755.8516666666667,False
2020-12-01,2234.16,1.082692751433112,1905.39,False
2021-01-01,2302.73,3.069162459268826,2039.618333333333,False
2021-02-01,2292.9,-0.42688461087491136,2151.963333333333,False
2021-03-01,2731.68,19.136464738976834,2307.22,False
2021-04-01,2641.06,-3.317372459438872,2402.1266666666666,False
2021-05-01,2539.57,-3.842775249331698,2457.0166666666664,False
2021-06-01,2807.51,10.550605023685122,2552.5750000000003,False
2021-07-01,3247.82,15.683292312404928,2710.09,False
2021-08-01,3555.55,9.474970903559932,2920.531666666667,False
2021-09-01,3654.3,2.7773480896063907,3074.3016666666667,False
2021-10-01,4218.65,15.443450181977392,3337.2333333333336,False
2021-11-01,4186.48,-0.7625662237919717,3611.7183333333337,False
2021-12-01,4566.3,9.072538266037355,3904.85,False
2022-01-01,4617.15,1.1135930622166557,4133.071666666667,False
2022-02-01,4527.49,-1.9418905601940595,4295.0616666666665,False
2022-03-01,5405.65,19.396177573004024,4586.953333333334,False
2022-04-01,5583.05,3.281751500744612,4814.3533333333335,False
2022-05-01,5955.2,6.665711394309559,5109.14,False
2022-06-01,5862.75,-1.552424771628158,5325.215,False
2022-07-01,6288.4,7.260244765681634,5603.756666666667,False
2022-08-01,6579.63,4.631225748998169,5945.78,False
2022-09-01,6780.8,3.057466757249272,6174.971666666667,False
2022-10-01,7305.42,7.736845210004728,6462.033333333333,False
2022-11-01,7309.45,0.05516452168390362,6687.741666666668,False
2022-12-01,7829.49,7.114625587424506,7015.531666666667,False
2023-01-01,8036.89,2.648959255328265,7306.946666666667,False
2023-02-01,7534.76,-6.247814764168725,7466.135000000001,False
2023-03-01,8685.3,15.269763071418318,7783.551666666666,False
2023-04-01,8863.26,2.048979309868404,8043.191666666667,False
2023-05-01,9415.19,6.227166979192766,8394.148333333333,False
2023-06-01,9335.06,-0.8510715131611946,8645.076666666666,False
2023-07-01,9964.61,6.743930944203913,8966.363333333333,False
2023-08-01,10586.02,6.236169804939684,9474.906666666668,False
2023-09-01,10555.69,-0.2865099442472263,9786.638333333334,False
2023-10-01,11408.79,8.08189706215321,10210.893333333333,False
2023-11-01,11235.29,-1.5207572406889747,10514.243333333334,False
2023-12-01,12020.23,6.986379523804009,10961.771666666667,False
2024-01-01,12203.02,1.5206863762174283,11334.840000000002,False
2024-02-01,12102.67,-0.8223374213924162,11587.615,False
2024-03-01,13440.0,11.049875771214124,12068.333333333334,False
2024-04-01,13303.99,-1.0119791666666655,12384.200000000003,False
2024-05-01,14035.84,5.500981284562001,12850.958333333334,False
